text,intent,action_type
mục tiêu du lịch 5 triệu trước hôm qua,action,GOAL
check tiền đã xài 30 ngày qua đi,action,REPORT_GENERAL
chuyển giao diện sáng,action,SETTING
đề xuất budget hợp lý đi,action,SUGGEST
tắt chế độ tối,action,SYSTEM_SETTING
xem report ăn uống 7 ngày qua,action,REPORT_GENERAL
chỉnh lại ghi chú nha,action,EDIT
thống kê chi tiêu chủ nhật,action,REPORT_GENERAL
thống kê chi tiêu tháng này,action,REPORT_INCOME
set limit ăn uống 200k mỗi tháng,action,SET_LIMIT
thống kê chi tiêu 15-06-2026,action,REPORT_INCOME
sửa giao dịch cuối thành 5 triệu,action,UPDATE_RECORD
set nickname Anh Khang,action,SET_USERNAME
chỉnh lại ghi chú nha,action,EDIT
set tone dễ thương,action,TONE
cho t xem báo cáo tuần trước,action,REPORT_GENERAL
tắt thông báo chi tiêu,action,SET_ALERT
đổi tên thành Bin,action,SET_USERNAME
set income 500k,action,SET_INCOME
hủy hóa đơn mới nhất,action,DELETE
search hóa đơn trên 10 triệu,action,SEARCH
tắt chế độ tối,action,SETTING
giảm limit còn 5 triệu,action,LIMIT
check tiền đã xài thứ 3 đi,action,REPORT
nói chuyện dặn dỗi hơn đi,action,TONE
thống kê chi tiêu năm ngoái,action,REPORT_COMPARE
đặt hạn mức đi lại 100k,action,LIMIT
chuyển style nói chuyện nhé,action,SET_TONE
xem report giáo dục 7 ngày qua,action,REPORT_GENERAL
search hóa đơn trên 100k,action,SEARCH_RECORD
cho t xem báo cáo 23-12-2025,action,REPORT_INCOME
nói chuyện dễ thương hơn đi,action,SET_TONE
thống kê chi tiêu tuần trước,action,REPORT_GENERAL
check tiền đã xài tuần này đi,action,REPORT_INCOME
kiếm giúp khoản trà sữa,action,SEARCH
thống kê chi tiêu thứ 6,action,REPORT_INCOME
kiếm giúp khoản trà sữa,action,SEARCH
từ giờ gọi t là Min,action,SET_USERNAME
để dành 200k nha,action,SET_GOAL
nhắc mình khi vượt ngân sách,action,SET_ALERT
gợi ý ngân sách tháng sau,action,SUGGEST_BUDGET
bật dark mode,action,SETTING
save goal mua laptop 5 triệu,action,SET_GOAL
thống kê chi tiêu tuần này,action,REPORT_INCOME
giảm limit còn 10 triệu,action,SET_LIMIT
gợi ý ngân sách tháng sau,action,SUGGEST
đặt hạn mức giải trí 10 triệu,action,LIMIT
check tiền đã xài tuần này đi,action,REPORT_INCOME
mở cài đặt,action,SYSTEM_SETTING
đổi danh mục sang giáo dục,action,EDIT
thống kê chi tiêu hôm nay,action,REPORT_GENERAL
sửa giao dịch cuối thành 200k,action,EDIT
tìm giao dịch nhà ở,action,SEARCH_RECORD
save goal mua laptop 10 triệu,action,SET_GOAL
giảm limit còn 2 triệu,action,SET_LIMIT
giảm limit còn 5 triệu,action,LIMIT
mục tiêu du lịch 50k trước cuối tuần,action,SET_GOAL
tìm giao dịch giáo dục,action,SEARCH_RECORD
set nickname Boss,action,SET_USERNAME
check tiền đã xài tháng này đi,action,REPORT_GENERAL
tìm record tháng này,action,SEARCH_RECORD
update record vừa nhập,action,EDIT
đổi giọng sang dễ thương,action,TONE
chuyển giao diện sáng,action,SETTING
set limit mua sắm 5 triệu mỗi tháng,action,SET_LIMIT
hủy hóa đơn mới nhất,action,DELETE_LAST
check tiền đã xài thứ 6 đi,action,REPORT_INCOME
đổi tên thành Boss,action,SET_USERNAME
bật dark mode,action,SETTING
alert hạn mức cho đi lại,action,SET_ALERT
để dành 500k nha,action,SET_GOAL
check tiền đã xài tuần này đi,action,REPORT_GENERAL
nhắc mình khi vượt ngân sách,action,SET_ALERT
hủy hóa đơn mới nhất,action,DELETE_LAST
mỗi tháng mình kiếm 1 triệu,action,SET_INCOME
set limit mua sắm 200k mỗi tháng,action,SET_LIMIT
tìm record năm nay,action,SEARCH
đổi danh mục sang giải trí,action,UPDATE_RECORD
set limit giải trí 200k mỗi tháng,action,SET_LIMIT
chuyển style nói chuyện nhé,action,SET_TONE
chuyển style nói chuyện nhé,action,SET_TONE
update record vừa nhập,action,UPDATE_RECORD
tắt chế độ tối,action,SETTING
set limit ăn uống 200k mỗi tháng,action,SET_LIMIT
đặt hạn mức nhà ở 100k,action,LIMIT
tạo mục tiêu tiết kiệm 50k,action,SET_GOAL
search hóa đơn trên 5 triệu,action,SEARCH
chỉnh lại ghi chú nha,action,UPDATE_RECORD
gợi ý ngân sách tháng sau,action,SUGGEST_BUDGET
tìm record tháng này,action,SEARCH
đề xuất budget hợp lý đi,action,SUGGEST
thống kê chi tiêu hôm qua,action,REPORT_COMPARE
mở cài đặt,action,SETTING
hủy hóa đơn mới nhất,action,DELETE_LAST
đổi tên thành Min,action,SET_USERNAME
search hóa đơn trên 10 triệu,action,SEARCH
kiếm giúp khoản trà sữa,action,SEARCH_RECORD
set tone nghiêm túc,action,TONE
đổi danh mục sang nhà ở,action,EDIT
undo giao dịch cuối,action,DELETE_LAST
đặt hạn mức mua sắm 500k,action,SET_LIMIT
set limit sức khỏe 50k mỗi tháng,action,SET_LIMIT
mục tiêu du lịch 500k trước 15-06-2026,action,GOAL
cộng thêm 100k vào hạn mức,action,SET_LIMIT
save goal mua laptop 100k,action,SET_GOAL
mở cài đặt,action,SYSTEM_SETTING
tháng tới nên tiêu bao nhiêu,action,SUGGEST
sửa giao dịch cuối thành 2 triệu,action,EDIT
xóa giao dịch vừa nhập,action,DELETE
chuyển giao diện sáng,action,SETTING
đặt hạn mức sức khỏe 5 triệu,action,SET_LIMIT
cho t xem báo cáo tuần này,action,REPORT
lương của mình là 1 triệu,action,SET_INCOME
kiếm giúp khoản trà sữa,action,SEARCH
bật dark mode,action,SETTING
cho t xem báo cáo 15-06-2026,action,REPORT
nói chuyện dễ thương hơn đi,action,TONE
đổi tên thành Anh Khang,action,SET_USERNAME
mở cài đặt,action,SETTING
đổi danh mục sang nhà ở,action,UPDATE_RECORD
đổi danh mục sang nhà ở,action,EDIT
bật cảnh báo mua sắm,action,SET_ALERT
undo giao dịch cuối,action,DELETE
sửa giao dịch cuối thành 100k,action,UPDATE_RECORD
hủy hóa đơn mới nhất,action,DELETE_LAST
thống kê chi tiêu 15-06-2026,action,REPORT
mục tiêu du lịch 5 triệu trước tuần trước,action,GOAL
thống kê chi tiêu 15-06-2026,action,REPORT_COMPARE
tắt chế độ tối,action,SYSTEM_SETTING
lương của mình là 500k,action,SET_INCOME
thống kê chi tiêu 23-12-2025,action,REPORT
alert hạn mức cho nhà ở,action,SET_ALERT
đề xuất budget hợp lý đi,action,SUGGEST_BUDGET
chuyển giao diện sáng,action,SETTING
tư vấn hạn mức cho mình,action,SUGGEST
nói chuyện dễ thương hơn đi,action,TONE
tắt chế độ tối,action,SYSTEM_SETTING
nhắc mình khi vượt ngân sách,action,SET_ALERT
chuyển giao diện sáng,action,SYSTEM_SETTING
chuyển giao diện sáng,action,SYSTEM_SETTING
thống kê chi tiêu hôm qua,action,REPORT_GENERAL
thống kê chi tiêu cuối tuần,action,REPORT_INCOME
set tone nghiêm túc,action,TONE
xem report mua sắm tuần này,action,REPORT_GENERAL
gợi ý ngân sách tháng sau,action,SUGGEST
bật dark mode,action,SYSTEM_SETTING
mở cài đặt,action,SYSTEM_SETTING
chỉnh lại ghi chú nha,action,EDIT
tạo mục tiêu tiết kiệm 100k,action,SET_GOAL
thống kê chi tiêu 01-01-2026,action,REPORT_GENERAL
thống kê chi tiêu 15-06-2026,action,REPORT_GENERAL
xem report ăn uống 15-06-2026,action,REPORT_GENERAL
sửa giao dịch cuối thành 2 triệu,action,EDIT
chỉnh lại ghi chú nha,action,EDIT
search hóa đơn trên 2 triệu,action,SEARCH
mỗi tháng mình kiếm 500k,action,SET_INCOME
tắt chế độ tối,action,SETTING
nói chuyện châm chọc hơn đi,action,SET_TONE
sửa giao dịch cuối thành 100k,action,UPDATE_RECORD
giảm limit còn 1 triệu,action,SET_LIMIT
chuyển giao diện sáng,action,SYSTEM_SETTING
tìm giao dịch đi lại,action,SEARCH_RECORD
save goal mua laptop 200k,action,SET_GOAL
xóa giao dịch vừa nhập,action,DELETE_LAST
mục tiêu du lịch 1 triệu trước tháng trước,action,SET_GOAL
xóa giao dịch vừa nhập,action,DELETE
kiếm giúp khoản trà sữa,action,SEARCH
tháng tới nên tiêu bao nhiêu,action,SUGGEST_BUDGET
sửa giao dịch cuối thành 10 triệu,action,EDIT
set income 1 triệu,action,SET_INCOME
set limit ăn uống 200k mỗi tháng,action,SET_LIMIT
mục tiêu du lịch 500k trước 7 ngày qua,action,SET_GOAL
xóa record cuối giúp mình,action,DELETE
cho t xem báo cáo năm ngoái,action,REPORT_GENERAL
check tiền đã xài quý 1 năm nay đi,action,REPORT_GENERAL
kiếm giúp khoản trà sữa,action,SEARCH_RECORD
xóa record cuối giúp mình,action,DELETE
check tiền đã xài tháng trước đi,action,REPORT_INCOME
search hóa đơn trên 1 triệu,action,SEARCH_RECORD
alert hạn mức cho mua sắm,action,SET_ALERT
nhắc mình khi vượt ngân sách,action,SET_ALERT
kiếm giúp khoản trà sữa,action,SEARCH_RECORD
tạo mục tiêu tiết kiệm 5 triệu,action,SET_GOAL
undo giao dịch cuối,action,DELETE_LAST
hủy hóa đơn mới nhất,action,DELETE_LAST
từ giờ gọi t là Khang,action,SET_USERNAME
set nickname Khang,action,SET_USERNAME
tạo mục tiêu tiết kiệm 10 triệu,action,SET_GOAL
thống kê chi tiêu năm nay,action,REPORT
đặt hạn mức giáo dục 50k,action,SET_LIMIT
hủy hóa đơn mới nhất,action,DELETE
thống kê chi tiêu thứ 2,action,REPORT
đề xuất budget hợp lý đi,action,SUGGEST
đề xuất budget hợp lý đi,action,SUGGEST_BUDGET
nói chuyện hài hước hơn đi,action,TONE
chỉnh lại ghi chú nha,action,UPDATE_RECORD
bật dark mode,action,SYSTEM_SETTING
để dành 5 triệu nha,action,GOAL
check tiền đã xài hôm nay đi,action,REPORT_COMPARE
thống kê chi tiêu 23-12-2025,action,REPORT_GENERAL
mục tiêu du lịch 100k trước thứ 6,action,GOAL
đổi giọng sang dặn dỗi,action,SET_TONE
check tiền đã xài quý 1 năm nay đi,action,REPORT_COMPARE
chuyển giao diện sáng,action,SYSTEM_SETTING
xem report mua sắm thứ 2,action,REPORT_COMPARE
cộng thêm 50k vào hạn mức,action,LIMIT
thu nhập tháng này 50k,action,SET_INCOME
tắt chế độ tối,action,SYSTEM_SETTING
gợi ý ngân sách tháng sau,action,SUGGEST
chuyển giao diện sáng,action,SETTING
xóa record cuối giúp mình,action,DELETE
set nickname Anh Khang,action,SET_USERNAME
gọi mình là Anh Khang nhé,action,SET_USERNAME
nói chuyện hài hước hơn đi,action,SET_TONE
cho t xem báo cáo cuối tuần,action,REPORT_COMPARE
xóa record cuối giúp mình,action,DELETE_LAST
cộng thêm 1 triệu vào hạn mức,action,SET_LIMIT
hủy hóa đơn mới nhất,action,DELETE
set nickname Bin,action,SET_USERNAME
undo giao dịch cuối,action,DELETE_LAST
check tiền đã xài năm nay đi,action,REPORT
check tiền đã xài tháng này đi,action,REPORT_COMPARE
xem report giải trí thứ 6,action,REPORT_GENERAL
xóa record cuối giúp mình,action,DELETE
đổi giọng sang nghiêm túc,action,SET_TONE
update record vừa nhập,action,EDIT
sửa giao dịch cuối thành 50k,action,EDIT
tư vấn hạn mức cho mình,action,SUGGEST_BUDGET
check tiền đã xài 7 ngày qua đi,action,REPORT
set nickname Mimo Master,action,SET_USERNAME
tìm record tuần trước,action,SEARCH
cho t xem báo cáo 15-06-2026,action,REPORT_INCOME
set tone dễ thương,action,TONE
set tone dễ thương,action,TONE
tìm giao dịch mua sắm,action,SEARCH_RECORD
mở cài đặt,action,SETTING
save goal mua laptop 50k,action,SET_GOAL
xóa record cuối giúp mình,action,DELETE
cộng thêm 100k vào hạn mức,action,LIMIT
xem report nhà ở chủ nhật,action,REPORT_GENERAL
tư vấn hạn mức cho mình,action,SUGGEST_BUDGET
thống kê chi tiêu 15-06-2026,action,REPORT
mục tiêu du lịch 2 triệu trước chủ nhật,action,SET_GOAL
đặt hạn mức mua sắm 2 triệu,action,LIMIT
mục tiêu du lịch 10 triệu trước thứ 3,action,SET_GOAL
tắt chế độ tối,action,SETTING
đổi tên thành Anh Khang,action,SET_USERNAME
gọi mình là Anh Khang nhé,action,SET_USERNAME
cho t xem báo cáo thứ 3,action,REPORT_GENERAL
hủy hóa đơn mới nhất,action,DELETE_LAST
để dành 10 triệu nha,action,GOAL
tìm record năm ngoái,action,SEARCH_RECORD
xem report giáo dục năm ngoái,action,REPORT_GENERAL
chỉnh lại ghi chú nha,action,UPDATE_RECORD
để dành 200k nha,action,SET_GOAL
kiếm giúp khoản trà sữa,action,SEARCH
từ giờ gọi t là Bin,action,SET_USERNAME
chỉnh lại ghi chú nha,action,UPDATE_RECORD
đặt hạn mức giáo dục 10 triệu,action,SET_LIMIT
set tone dặn dỗi,action,SET_TONE
tháng tới nên tiêu bao nhiêu,action,SUGGEST_BUDGET
tư vấn hạn mức cho mình,action,SUGGEST_BUDGET
cho t xem báo cáo hôm qua,action,REPORT_GENERAL
lương của mình là 500k,action,SET_INCOME
sửa giao dịch cuối thành 100k,action,EDIT
thống kê chi tiêu thứ 2,action,REPORT_INCOME
undo giao dịch cuối,action,DELETE
check tiền đã xài thứ 2 đi,action,REPORT_GENERAL
xem report nhà ở thứ 2,action,REPORT_GENERAL
kiếm giúp khoản trà sữa,action,SEARCH_RECORD
search hóa đơn trên 2 triệu,action,SEARCH_RECORD
set nickname Anh Khang,action,SET_USERNAME
đề xuất budget hợp lý đi,action,SUGGEST_BUDGET
update record vừa nhập,action,EDIT
chỉnh lại ghi chú nha,action,EDIT
thống kê chi tiêu hôm nay,action,REPORT_INCOME
mục tiêu du lịch 500k trước chủ nhật,action,SET_GOAL
thu nhập tháng này 100k,action,SET_INCOME
set nickname Mimo Master,action,SET_USERNAME
tư vấn hạn mức cho mình,action,SUGGEST_BUDGET
search hóa đơn trên 100k,action,SEARCH
thống kê chi tiêu năm ngoái,action,REPORT
đề xuất budget hợp lý đi,action,SUGGEST_BUDGET
check tiền đã xài tuần trước đi,action,REPORT_INCOME
mở cài đặt,action,SETTING
gợi ý ngân sách tháng sau,action,SUGGEST_BUDGET
chuyển giao diện sáng,action,SETTING
nói chuyện nghiêm túc hơn đi,action,TONE
hủy hóa đơn mới nhất,action,DELETE_LAST
giảm limit còn 5 triệu,action,SET_LIMIT
cho t xem báo cáo thứ 2,action,REPORT_GENERAL
tháng tới nên tiêu bao nhiêu,action,SUGGEST
chỉnh lại ghi chú nha,action,EDIT
xem report giáo dục tuần này,action,REPORT_COMPARE
xem report đi lại chủ nhật,action,REPORT
undo giao dịch cuối,action,DELETE
save goal mua laptop 50k,action,SET_GOAL
xóa giao dịch vừa nhập,action,DELETE_LAST
tạo mục tiêu tiết kiệm 200k,action,SET_GOAL
hủy hóa đơn mới nhất,action,DELETE
mở cài đặt,action,SYSTEM_SETTING
sửa giao dịch cuối thành 5 triệu,action,EDIT
tắt thông báo chi tiêu,action,SET_ALERT
thống kê chi tiêu 15-06-2026,action,REPORT_GENERAL
search hóa đơn trên 50k,action,SEARCH
xóa record cuối giúp mình,action,DELETE_LAST
tìm giao dịch sức khỏe,action,SEARCH_RECORD
đề xuất budget hợp lý đi,action,SUGGEST_BUDGET
cho t xem báo cáo tuần này,action,REPORT_GENERAL
cho t xem báo cáo 23-12-2025,action,REPORT_GENERAL
tìm giao dịch ăn uống,action,SEARCH
cho t xem báo cáo 23-12-2025,action,REPORT_INCOME
xóa giao dịch vừa nhập,action,DELETE
tư vấn hạn mức cho mình,action,SUGGEST_BUDGET
xem report giải trí năm nay,action,REPORT_INCOME
bật cảnh báo giải trí,action,SET_ALERT
mở cài đặt,action,SYSTEM_SETTING
hủy hóa đơn mới nhất,action,DELETE_LAST
tháng tới nên tiêu bao nhiêu,action,SUGGEST_BUDGET
chỉnh lại ghi chú nha,action,EDIT
tìm record quý 1 năm nay,action,SEARCH
tháng tới nên tiêu bao nhiêu,action,SUGGEST
xem report giải trí 15-06-2026,action,REPORT_INCOME
xóa record cuối giúp mình,action,DELETE
đặt hạn mức giải trí 5 triệu,action,SET_LIMIT
tháng tới nên tiêu bao nhiêu,action,SUGGEST
xóa giao dịch vừa nhập,action,DELETE
xóa record cuối giúp mình,action,DELETE_LAST
từ giờ gọi t là Mimo Master,action,SET_USERNAME
set tone dặn dỗi,action,TONE
đổi danh mục sang mua sắm,action,EDIT
nói chuyện hài hước hơn đi,action,SET_TONE
mỗi tháng mình kiếm 200k,action,SET_INCOME
mở cài đặt,action,SYSTEM_SETTING
tìm giao dịch mua sắm,action,SEARCH_RECORD
set income 100k,action,SET_INCOME
thu nhập tháng này 2 triệu,action,SET_INCOME
hủy hóa đơn mới nhất,action,DELETE
bật cảnh báo nhà ở,action,SET_ALERT
chuyển style nói chuyện nhé,action,TONE
mục tiêu du lịch 200k trước năm ngoái,action,GOAL
chuyển style nói chuyện nhé,action,SET_TONE
hủy hóa đơn mới nhất,action,DELETE
check tiền đã xài năm nay đi,action,REPORT_GENERAL
hủy hóa đơn mới nhất,action,DELETE_LAST
đổi tên thành Boss,action,SET_USERNAME
cộng thêm 10 triệu vào hạn mức,action,LIMIT
chuyển giao diện sáng,action,SETTING
check tiền đã xài thứ 6 đi,action,REPORT_GENERAL
check tiền đã xài 01-01-2026 đi,action,REPORT_GENERAL
thống kê chi tiêu năm nay,action,REPORT_INCOME
tìm record tháng trước,action,SEARCH
update record vừa nhập,action,UPDATE_RECORD
cho t xem báo cáo tháng 12 năm ngoái,action,REPORT_COMPARE
tìm record quý 1 năm nay,action,SEARCH_RECORD
xem report mua sắm hôm qua,action,REPORT
đặt hạn mức ăn uống 200k,action,SET_LIMIT
xem report đi lại 7 ngày qua,action,REPORT
đặt hạn mức mua sắm 100k,action,LIMIT
check tiền đã xài thứ 3 đi,action,REPORT_GENERAL
mở cài đặt,action,SETTING
xóa giao dịch vừa nhập,action,DELETE_LAST
để dành 5 triệu nha,action,SET_GOAL
cho t xem báo cáo tuần này,action,REPORT_COMPARE
set tone dễ thương,action,TONE
mỗi tháng mình kiếm 200k,action,SET_INCOME
xem report giải trí tháng trước,action,REPORT_GENERAL
để dành 200k nha,action,SET_GOAL
thống kê chi tiêu năm nay,action,REPORT_COMPARE
undo giao dịch cuối,action,DELETE
để dành 10 triệu nha,action,GOAL
xem report mua sắm 30 ngày qua,action,REPORT
check tiền đã xài năm nay đi,action,REPORT_GENERAL
nhắc mình khi vượt ngân sách,action,SET_ALERT
update record vừa nhập,action,UPDATE_RECORD
save goal mua laptop 100k,action,SET_GOAL
xóa record cuối giúp mình,action,DELETE
thống kê chi tiêu thứ 6,action,REPORT_GENERAL
gợi ý ngân sách tháng sau,action,SUGGEST_BUDGET
tháng tới nên tiêu bao nhiêu,action,SUGGEST
xem report giáo dục 30 ngày qua,action,REPORT_INCOME
gợi ý ngân sách tháng sau,action,SUGGEST
tháng tới nên tiêu bao nhiêu,action,SUGGEST
cho t xem báo cáo tuần này,action,REPORT_GENERAL
tìm giao dịch đi lại,action,SEARCH_RECORD
giảm limit còn 500k,action,SET_LIMIT
thu nhập tháng này 50k,action,SET_INCOME
đổi danh mục sang ăn uống,action,EDIT
tìm giao dịch ăn uống,action,SEARCH_RECORD
kiếm giúp khoản trà sữa,action,SEARCH
tắt thông báo chi tiêu,action,SET_ALERT
undo giao dịch cuối,action,DELETE
chuyển giao diện sáng,action,SYSTEM_SETTING
để dành 1 triệu nha,action,GOAL
chuyển giao diện sáng,action,SYSTEM_SETTING
set tone dặn dỗi,action,TONE
cho t xem báo cáo 7 ngày qua,action,REPORT_COMPARE
tìm record thứ 3,action,SEARCH_RECORD
chuyển style nói chuyện nhé,action,SET_TONE
chỉnh lại ghi chú nha,action,EDIT
mở cài đặt,action,SYSTEM_SETTING
save goal mua laptop 2 triệu,action,SET_GOAL
tìm record 15-06-2026,action,SEARCH_RECORD
mở cài đặt,action,SETTING
tìm giao dịch nhà ở,action,SEARCH
mở cài đặt,action,SYSTEM_SETTING
cộng thêm 50k vào hạn mức,action,SET_LIMIT
tạo mục tiêu tiết kiệm 500k,action,GOAL
lương của mình là 50k,action,SET_INCOME
check tiền đã xài tuần trước đi,action,REPORT
thống kê chi tiêu tuần trước,action,REPORT
update record vừa nhập,action,UPDATE_RECORD
tắt chế độ tối,action,SYSTEM_SETTING
mục tiêu du lịch 500k trước tháng trước,action,SET_GOAL
thống kê chi tiêu 7 ngày qua,action,REPORT_GENERAL
search hóa đơn trên 500k,action,SEARCH
check tiền đã xài 01-01-2026 đi,action,REPORT_GENERAL
đổi giọng sang nghiêm túc,action,SET_TONE
tìm record 30 ngày qua,action,SEARCH_RECORD
xem report ăn uống 15-06-2026,action,REPORT_COMPARE
cho t xem báo cáo 23-12-2025,action,REPORT_GENERAL
bật dark mode,action,SYSTEM_SETTING
chuyển giao diện sáng,action,SETTING
để dành 50k nha,action,GOAL
kiếm giúp khoản trà sữa,action,SEARCH
chuyển style nói chuyện nhé,action,TONE
nói chuyện hài hước hơn đi,action,SET_TONE
đổi giọng sang dễ thương,action,SET_TONE
đổi danh mục sang giáo dục,action,EDIT
bật dark mode,action,SETTING
set tone dễ thương,action,TONE
tìm giao dịch mua sắm,action,SEARCH_RECORD
chỉnh lại ghi chú nha,action,EDIT
cộng thêm 500k vào hạn mức,action,SET_LIMIT
xóa record cuối giúp mình,action,DELETE
đề xuất budget hợp lý đi,action,SUGGEST_BUDGET
thu nhập tháng này 2 triệu,action,SET_INCOME
xem report sức khỏe thứ 2,action,REPORT_INCOME
nhắc mình khi vượt ngân sách,action,SET_ALERT
mở cài đặt,action,SETTING
update record vừa nhập,action,EDIT
xem report giáo dục thứ 3,action,REPORT_GENERAL
nói chuyện nghiêm túc hơn đi,action,SET_TONE
đổi giọng sang hài hước,action,TONE
tư vấn hạn mức cho mình,action,SUGGEST_BUDGET
xem report giải trí thứ 3,action,REPORT_GENERAL
đổi danh mục sang giáo dục,action,UPDATE_RECORD
đề xuất budget hợp lý đi,action,SUGGEST
tạo mục tiêu tiết kiệm 10 triệu,action,GOAL
cộng thêm 500k vào hạn mức,action,SET_LIMIT
hủy hóa đơn mới nhất,action,DELETE
gọi mình là Anh Khang nhé,action,SET_USERNAME
check tiền đã xài tuần này đi,action,REPORT
chỉnh lại ghi chú nha,action,EDIT
undo giao dịch cuối,action,DELETE_LAST
thống kê chi tiêu 15-06-2026,action,REPORT_INCOME
sửa giao dịch cuối thành 2 triệu,action,UPDATE_RECORD
chuyển giao diện sáng,action,SYSTEM_SETTING
nhắc mình khi vượt ngân sách,action,SET_ALERT
cộng thêm 50k vào hạn mức,action,LIMIT
nói chuyện hài hước hơn đi,action,SET_TONE
đề xuất budget hợp lý đi,action,SUGGEST
bật dark mode,action,SYSTEM_SETTING
tư vấn hạn mức cho mình,action,SUGGEST_BUDGET
set income 10 triệu,action,SET_INCOME
gợi ý ngân sách tháng sau,action,SUGGEST
undo giao dịch cuối,action,DELETE_LAST
thống kê chi tiêu quý 1 năm nay,action,REPORT_COMPARE
thống kê chi tiêu hôm qua,action,REPORT_GENERAL
update record vừa nhập,action,EDIT
update record vừa nhập,action,UPDATE_RECORD
check tiền đã xài quý 1 năm nay đi,action,REPORT_INCOME
search hóa đơn trên 100k,action,SEARCH_RECORD
nói chuyện dễ thương hơn đi,action,SET_TONE
tháng tới nên tiêu bao nhiêu,action,SUGGEST
check tiền đã xài tuần trước đi,action,REPORT
xem report ăn uống năm nay,action,REPORT_GENERAL
xem report sức khỏe 23-12-2025,action,REPORT_INCOME
giảm limit còn 500k,action,SET_LIMIT
cho t xem báo cáo hôm qua,action,REPORT_GENERAL
search hóa đơn trên 500k,action,SEARCH_RECORD
đổi danh mục sang giải trí,action,UPDATE_RECORD
thống kê chi tiêu 7 ngày qua,action,REPORT_INCOME
check tiền đã xài thứ 2 đi,action,REPORT_INCOME
check tiền đã xài 15-06-2026 đi,action,REPORT_GENERAL
check tiền đã xài 01-01-2026 đi,action,REPORT_GENERAL
mục tiêu du lịch 10 triệu trước 23-12-2025,action,SET_GOAL
xóa giao dịch vừa nhập,action,DELETE
thống kê chi tiêu tuần này,action,REPORT_INCOME
kiếm giúp khoản trà sữa,action,SEARCH_RECORD
để dành 100k nha,action,SET_GOAL
giảm limit còn 50k,action,SET_LIMIT
tắt chế độ tối,action,SYSTEM_SETTING
tìm record tuần trước,action,SEARCH
từ giờ gọi t là Bin,action,SET_USERNAME
xóa giao dịch vừa nhập,action,DELETE_LAST
tư vấn hạn mức cho mình,action,SUGGEST_BUDGET
tìm record hôm qua,action,SEARCH_RECORD
chuyển style nói chuyện nhé,action,TONE
xóa record cuối giúp mình,action,DELETE
sửa giao dịch cuối thành 500k,action,UPDATE_RECORD
thống kê chi tiêu cuối tuần,action,REPORT_GENERAL
tư vấn hạn mức cho mình,action,SUGGEST
check tiền đã xài 30 ngày qua đi,action,REPORT_GENERAL
check tiền đã xài cuối tuần đi,action,REPORT_INCOME
search hóa đơn trên 100k,action,SEARCH
set tone nghiêm túc,action,SET_TONE
chuyển style nói chuyện nhé,action,TONE
đổi danh mục sang giáo dục,action,EDIT
check tiền đã xài tháng này đi,action,REPORT_INCOME
mục tiêu du lịch 100k trước tháng trước,action,SET_GOAL
chỉnh lại ghi chú nha,action,UPDATE_RECORD
xóa record cuối giúp mình,action,DELETE
cho t xem báo cáo tháng 12 năm ngoái,action,REPORT_GENERAL
chỉnh lại ghi chú nha,action,EDIT
cộng thêm 100k vào hạn mức,action,SET_LIMIT
xem report mua sắm 23-12-2025,action,REPORT_COMPARE
thống kê chi tiêu tháng này,action,REPORT_COMPARE
đổi giọng sang dặn dỗi,action,SET_TONE
cộng thêm 100k vào hạn mức,action,LIMIT
mục tiêu du lịch 1 triệu trước tuần trước,action,SET_GOAL
đổi danh mục sang sức khỏe,action,UPDATE_RECORD
bật dark mode,action,SETTING
bật dark mode,action,SETTING
kiếm giúp khoản trà sữa,action,SEARCH_RECORD
lương của mình là 5 triệu,action,SET_INCOME
search hóa đơn trên 1 triệu,action,SEARCH
đổi danh mục sang giáo dục,action,UPDATE_RECORD
check tiền đã xài 30 ngày qua đi,action,REPORT
thu nhập tháng này 5 triệu,action,SET_INCOME
lương của mình là 2 triệu,action,SET_INCOME
cho t xem báo cáo tuần trước,action,REPORT_COMPARE
từ giờ gọi t là Anh Khang,action,SET_USERNAME
tìm record quý 1 năm nay,action,SEARCH_RECORD
chỉnh lại ghi chú nha,action,EDIT
save goal mua laptop 50k,action,GOAL
tắt chế độ tối,action,SYSTEM_SETTING
tìm record hôm qua,action,SEARCH_RECORD
nói chuyện nghiêm túc hơn đi,action,SET_TONE
alert hạn mức cho mua sắm,action,SET_ALERT
tắt thông báo chi tiêu,action,SET_ALERT
set income 10 triệu,action,SET_INCOME
mở cài đặt,action,SETTING
thống kê chi tiêu tháng này,action,REPORT
mở cài đặt,action,SETTING
gợi ý ngân sách tháng sau,action,SUGGEST_BUDGET
tìm record hôm qua,action,SEARCH_RECORD
set tone dễ thương,action,SET_TONE
alert hạn mức cho sức khỏe,action,SET_ALERT
chỉnh lại ghi chú nha,action,UPDATE_RECORD
set limit sức khỏe 2 triệu mỗi tháng,action,SET_LIMIT
để dành 200k nha,action,SET_GOAL
cộng thêm 10 triệu vào hạn mức,action,SET_LIMIT
đặt hạn mức giáo dục 100k,action,LIMIT
gợi ý ngân sách tháng sau,action,SUGGEST_BUDGET
search hóa đơn trên 10 triệu,action,SEARCH_RECORD
mở cài đặt,action,SETTING
tháng tới nên tiêu bao nhiêu,action,SUGGEST
hủy hóa đơn mới nhất,action,DELETE
thống kê chi tiêu thứ 3,action,REPORT_GENERAL
để dành 1 triệu nha,action,GOAL
